RelationshipType,Source,Target
SPDXRef-Package-k8s.gcr.io-kube-proxy-amd64-v1.23.5,GENERATED_FROM,DocumentRef-kubernetes-v1.23.5:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8s.gcr.io-kube-proxy-amd64-v1.23.5
SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5-f0e3a932e5c99ff587211f5b76f0ab8356c59e0eef209c50b6baf11c9fbeeeb6-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5-273e6fd96062716d0bb66e710b48c4c50f0d126de802b8d13936214a2c81e0e0-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5-04ffe67a3835bbd11bd39a6d02234f107a6708e59efed320c46956fd013badd0-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5,GENERATED_FROM,DocumentRef-kubernetes-v1.23.5:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm-v1.23.5
SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5-f0e3a932e5c99ff587211f5b76f0ab8356c59e0eef209c50b6baf11c9fbeeeb6-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5-273e6fd96062716d0bb66e710b48c4c50f0d126de802b8d13936214a2c81e0e0-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5-5f4ba20106976ffba3daf3c674d61ac1ae8af88a43ede069b036ff3345f8460b-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5,GENERATED_FROM,DocumentRef-kubernetes-v1.23.5:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.5
SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5-f82a3a5bf83a1a5e975412620f159646e030377bef32e38d355dabaf371322e5-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5-deddd59c386ed9b3d4ec8ec9faaf9ec08385d7779f0e56b6a05ec91926a25db5-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5-a027f913d9734700bd89a4923a77dfffec4b3f40dba863928f6f85dc25e7e611-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5,GENERATED_FROM,DocumentRef-kubernetes-v1.23.5:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8s.gcr.io-kube-scheduler-arm64-v1.23.5
SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5-6c0f54522e3e505caed798dfde38c05b1468b5248b44df7ea1f37938176d6461-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5-9a8365ea4e11574416067ca65a79a12aa427713846f7502396df21dbfa4faecb-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5-41709a61d2fa9605ea714a1dcb0fb95b2e75c250d278c6008d81c206e8457c75-layer.tar
SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5,GENERATED_FROM,DocumentRef-kubernetes-v1.23.5:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8s.gcr.io-kube-scheduler-ppc64le-v1.23.5
SPDXRef-Package-k8s.gcr.io-conformance-s390x-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-conformance-s390x-v1.23.5-45f2efcd59551d4ef120912dac3f9fff837eb12a59bea26b16af37b2d204564e-layer.tar
SPDXRef-Package-k8s.gcr.io-conformance-s390x-v1.23.5,CONTAINS,SPDXRef-Package-k8s.gcr.io-conformance-s390x-v1.23.5-d08e96629ebfd121ecac2135a0e4dc7485559556421d288cba54900bc92dcf7a-layer.tar
