RelationshipType,Source,Target
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-05a3b189b84df4400320b726cf95d7892b71af76
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-d0453240597240159e19b1702d0c8d98a720342b
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-6859946bbcbfee7a2316a9790127d5d08b557e52
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-4e95de58db3bfd6464c1fa02ab61900a80a0be71
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-27498d07b972c3bc8a7615b6f59e2152b0e50696
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-96abe5df67c16c4ed8d138c724633afc1cf16fa6
SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-6d2674b38154436df6b1fd8b0838c548adab4c0e
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-proxy-arm64v1220-alpha3
SPDXRef-Package-k8sgcriokube-scheduler-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-9a64d702001ad4e86d09f492dc92a5d0517a326e
SPDXRef-Package-k8sgcriokube-scheduler-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-7689d127a00de9821eb61a6a5706b641b44bfa56
SPDXRef-Package-k8sgcriokube-scheduler-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-8d1e651f711cc15eb2f1f6be1fdb1100d6e77dc7
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-scheduler-arm64v1220-alpha3
SPDXRef-Package-k8sgcriokube-controller-manager-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-f2251044c5920813c21a0e0946b0682d63198b88
SPDXRef-Package-k8sgcriokube-controller-manager-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-4a59d6dd56b6f6eecd3a529d171292a6acaa8e4d
SPDXRef-Package-k8sgcriokube-controller-manager-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-5fe4cb281f087f137c3142659aab94c8f70a9fa8
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-controller-manager-ppc64lev1220-alpha3
SPDXRef-Package-k8sgcriokube-controller-manager-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-5bab8a1d6a695397245a6a12a9a94c554600f40a
SPDXRef-Package-k8sgcriokube-controller-manager-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-3199a555f059ca95c0e209410898820422179921
SPDXRef-Package-k8sgcriokube-controller-manager-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-ef57b3307cf1b1bac22515e863944dd6ba74ca30
